song,writer,genre
Tum Hi Ho,Mithoon,Romantic
Channa Mereya,Amitabh Bhattacharya,Sad
Jai Ho,Gulzar,Patriotic
Kabira,Amitabh Bhattacharya,Soulful
Zingaat,Amitabh Bhattacharya,Dance
Tera Ban Jaunga,Kunaal Vermaa,Romantic
Kesariya,Amitabh Bhattacharya,Romantic
Apna Time Aayega,Divine,Rap
Kun Faya Kun,Irshad Kamil,Sufi
Agar Tum Saath Ho,Irshad Kamil,Emotional
Teri Mitti,Manoj Muntashir,Patriotic
Lungi Dance,Yo Yo Honey Singh,Party
Pee Loon,Irshad Kamil,Romantic
Dilliwaali Girlfriend,Kausar Munir,Dance
Nagada Sang Dhol,Siddharth-Garima,Folk
Sun Saathiya,Priya Saraiya,Dance
Tum Se Hi,Irshad Kamil,Romantic
Galliyan,Manoj Muntashir,Romantic
Laung Da Lashkara,Shiv Kumar Batalvi,Punjabi
Jab Tak,Manoj Muntashir,Romantic
Kar Har Maidaan Fateh,Shekhar Astitwa,Motivational
Ban Ja Rani,Guru Randhawa,Romantic
Aal Izz Well,Swanand Kirkire,Comedy
Kal Ho Naa Ho,Javed Akhtar,Emotional
Phir Se Ud Chala,Irshad Kamil,Philosophical
Deva Shree Ganesha,Ajay-Atul,Devotional
Malhari,Prashant Ingole,Victory
Mast Magan,Amitabh Bhattacharya,Romantic
Sooraj Dooba Hain,Amitabh Bhattacharya,Party
Shayad,Irshad Kamil,Romantic
